Name,Average Runtime,End Date,Premiere Date,Genres,Type,Language,Network,Critic_Rating,Total Seasons,Total Episodes,Premier Date,User_Rating,vote_count,poster_path,tagline,Metacritic_Rating
Cowboy Bebop,30.0,1998-10-24,2001-09-01,"['Action', 'Adventure', 'Anime', 'Science-Fiction']",Animation,Japanese,WOWOW,8.5,1,26,2001-09-01,8.5,1384.0,/xDiXDfZwC6XYC6fxHI1jl3A3Ill.jpg,See you space cowboy...,N/A
Silicon Valley,30.0,2014-04-06,2019-12-08,['Comedy'],Scripted,English,HBO,8.4,6,53,2019-12-08,8.132,1379.0,/dc5r71XI1gD4YwIUoEYCLiVvtss.jpg,How big is too big?,86.25
Endeavour,120.0,2012-01-02,2023-03-12,"['Drama', 'Crime', 'Mystery']",Scripted,English,ITV1,8.4,9,35,2023-03-12,8.146,195.0,/zlVQsugPBkSfIklJkh7XgnwSwqE.jpg,"A crusade in search of justice, risking everything for the truth ...",80.0
Grimm,60.0,2011-10-28,2017-03-31,"['Drama', 'Crime', 'Supernatural']",Scripted,English,NBC,8.4,6,123,2017-03-31,8.283,2869.0,/iOptnt1QHi6bIHmOq6adnZTV0bU.jpg,Mortal. Danger.,55.0
Black Sails,60.0,2014-01-25,2017-04-02,"['Drama', 'Action', 'Adventure']",Scripted,English,STARZ,8.4,4,38,2017-04-02,7.601,1172.0,/mZcSwrDdw6cdOVgXm496DgwrQcQ.jpg,Take what's yours,58.0
Broadchurch,60.0,2013-03-04,2017-04-17,"['Drama', 'Crime', 'Mystery']",Scripted,English,ITV1,8.4,3,24,2017-04-17,7.965,702.0,/f5gQRyTZ3v4asugU2F5HXE2FIDg.jpg,A town wrapped in secrets.,83.0
The Unit,60.0,2006-03-07,2009-05-10,"['Drama', 'Action', 'Crime']",Scripted,English,CBS,8.4,4,69,2009-05-10,7.288,160.0,/ftwhXqizcVRo4pgqFnTysR9tAIM.jpg,Covert warriors. Unsung heroes,61.0
Blackadder,30.0,1983-06-15,1989-11-02,"['Comedy', 'History']",Scripted,English,BBC One,8.4,4,24,1989-11-02,7.938,390.0,/pwr2DISBcHfGIHv50HAAbC6lYeU.jpg,The most gripping sitcom since 1380.,N/A
Dexter,60.0,2006-10-01,2013-09-22,"['Drama', 'Crime', 'Mystery']",Scripted,English,Showtime,8.4,8,96,2013-09-22,8.19,3675.0,/q8dWfc4JwQuv3HayIZeO84jAXED.jpg,A serial killer with a heart..... just pray it's not yours,N/A
Warehouse 13,60.0,2009-07-07,2014-05-19,"['Drama', 'Science-Fiction', 'Mystery']",Scripted,English,Syfy,8.4,5,64,2014-05-19,7.661,566.0,/5AHe7Wmwl2T0qmJwktTgXG9sFCJ.jpg,Mystery loves company,67.0
The Newsroom,60.0,2012-06-24,2014-12-14,['Drama'],Scripted,English,HBO,8.4,3,25,2014-12-14,8.119,513.0,/2s6IPLtfw0GiMxlJznb1TkA6KXk.jpg,More as the story develops.,61.67
Star Trek: Deep Space Nine,60.0,1993-01-03,1999-06-02,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syndication,8.4,7,176,1999-06-02,7.89,669.0,/37gPCTyiQOLa9vJeKrpX4HqRq6P.jpg,"At the edge of the Final Frontier, the Universe's greatest mystery is about to unfold.",74.0
Utopia,60.0,2013-01-15,2014-08-12,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,Channel 4,8.4,2,12,2014-08-12,8.03,452.0,/dQTHgka2IA8gFZ6aiB12CaxBR0b.jpg,The Network is watching.,N/A
Utopia,60.0,2013-01-15,2014-08-12,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,Channel 4,8.4,2,12,2014-08-12,7.31,399.0,/oMY53BtS9vOTAhKgWr2gNYyLBOw.jpg,What have you done to earn your place in this crowded world?,N/A
Seinfeld,30.0,1989-07-05,1998-05-14,['Comedy'],Scripted,English,NBC,8.4,9,180,1998-05-14,8.282,1671.0,/aCw8ONfyz3AhngVQa1E2Ss4KSUQ.jpg,These pretzels are making me thirsty!,79.0
Star Trek,60.0,1966-09-08,1969-06-03,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,NBC,8.4,3,79,1969-06-03,8.1,1122.0,/qD8WmNZ4qDeHEgYktUXvz9ptgQ.jpg,To boldly go where no man has gone before,N/A
Elementary,60.0,2012-09-27,2019-08-15,"['Drama', 'Crime', 'Mystery']",Scripted,English,CBS,8.3,7,154,2019-08-15,7.572,1465.0,/q9dObe29W4bDpgzUfOOH3ZnzDbR.jpg,New Holmes. New Watson. New York.,73.0
M*A*S*H,31.0,1972-09-17,1983-02-28,"['Comedy', 'War', 'Medical']",Scripted,English,CBS,8.3,11,251,1983-02-28,7.933,560.0,/6rhuM3oMoEWKxAdrm7IyM8oq8cC.jpg,"Goodbye, Farewell, and Amen.",N/A
The Knick,60.0,2014-08-08,2015-12-18,"['Drama', 'Medical']",Scripted,English,Cinemax,8.3,3,20,2015-12-18,7.93,374.0,/oeEqDSIVOi6q0GcZj8L9Q6G7fGC.jpg,Modern medicine had to start somewhere.,80.0
Sons of Anarchy,60.0,2008-09-03,2014-12-09,"['Drama', 'Action', 'Crime']",Scripted,English,FX,8.3,7,92,2014-12-09,8.445,2569.0,/dNNZe7wqrcXgTSbiSlkEaodhm5s.jpg,Let freedom ride.,76.75
Chuck,60.0,2007-09-24,2012-01-27,"['Drama', 'Comedy', 'Action']",Scripted,English,NBC,8.3,5,91,2012-01-27,7.7,879.0,/vEZvGVVMjk1TRs59nfypTI5lAXj.jpg,Saving the world... At $11 an hour.,73.0
Boardwalk Empire,60.0,2010-09-19,2014-10-26,"['Drama', 'Crime']",Scripted,English,HBO,8.3,5,56,2014-10-26,7.991,908.0,/kL6SqlVPpfAof2nQbh1VxkUuXBQ.jpg,"When alcohol was outlawed, outlaws became kings.",81.2
The Killing,60.0,2011-04-03,2014-08-01,"['Drama', 'Crime', 'Thriller']",Scripted,English,AMC,8.3,4,44,2014-08-01,7.873,648.0,/mOzYV3QH5Nwm8CwkVIUmb0Ae0IO.jpg,The past can't be washed away.,68.5
Doctor Who,25.0,1963-11-23,1996-05-12,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,BBC One,8.3,26,700,1996-05-12,7.4,2639.0,/sz4zF5z9zyFh8Z6g5IQPNq91cI7.jpg,Space. For all.,76.0
24,60.0,2001-11-06,2014-09-30,"['Drama', 'Action', 'Thriller']",Scripted,English,FOX,8.3,9,204,2014-09-30,7.792,1330.0,/iq6yrZ5LEDXf1ArCOYLq8PIUBpV.jpg,A lot can happen in a day.,78.62
The Pacific,60.0,2010-03-14,2010-05-16,"['Drama', 'Action', 'War']",Scripted,English,HBO,8.3,1,10,2010-05-16,7.738,2123.0,/x9Y1IMFdY8Ma222KcQadFEau0EB.jpg,Hell was an ocean away.,86.0
Mr. Robot,61.0,2015-06-24,2019-12-22,"['Drama', 'Crime', 'Thriller']",Scripted,English,USA Network,8.3,4,45,2019-12-22,8.242,4119.0,/oKIBhzZzDX07SoE2bOLhq2EE8rf.jpg,Control is an illusion.,80.67
Supernatural,60.0,2005-09-13,2020-11-19,"['Drama', 'Action', 'Supernatural']",Scripted,English,The CW,8.3,15,327,2020-11-19,8.304,6909.0,/KoYWXbnYuS3b0GyQPkbuexlVK9.jpg,Between darkness and deliverance,59.0
Archer,30.0,2009-09-17,2023-12-17,"['Comedy', 'Action', 'Espionage']",Animation,English,FXX,8.3,14,143,2023-12-17,7.927,1074.0,/o51NY5Zjgh7ridCu93dKOdKftVy.jpg,Spy life is the high life.,79.33
Poldark,60.0,2015-03-08,2019-08-26,"['Drama', 'Romance']",Scripted,English,BBC One,8.3,5,43,2019-08-26,7.8,248.0,/fTJZHMzlIGSJVPSe7Xz4p5SRwYP.jpg,Loyalty. Bravery. Passion.,72.0
Humans,60.0,2015-06-14,2018-07-05,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,Channel 4,8.2,3,24,2018-07-05,7.5,516.0,/iBjjSGgnjAQBSQGO9pYIh7Gp2PO.jpg,Made in our image. Out of our control.,77.5
Parks and Recreation,30.0,2009-04-09,2015-02-24,['Comedy'],Scripted,English,NBC,8.2,7,125,2015-02-24,8.0,1250.0,/dDuzrl9rUIBYieZjqmtNCdncrmZ.jpg,Because parks don’t grow on trees.,70.67
Lost,60.0,2004-09-22,2010-05-23,"['Drama', 'Adventure', 'Supernatural']",Scripted,English,ABC,8.2,6,121,2010-05-23,7.961,3659.0,/og6S0aTZU6YUJAbqxeKjCa3kY1E.jpg,Everything happens for a reason.,83.67
Lost,60.0,2004-09-22,2010-05-23,"['Drama', 'Adventure', 'Supernatural']",Scripted,English,ABC,8.2,6,121,2010-05-23,8.5,15.0,/h2KVyiF5qYjOSQKbEw8ev0dUM5n.jpg,"A 27-year-old man afraid of himself, afraid of becoming nothing.",83.67
Better Off Ted,30.0,2009-03-18,2010-02-09,['Comedy'],Scripted,English,ABC,8.2,2,26,2010-02-09,7.5,166.0,/u6QkbGwjH0qtGO6Cz9fFi6BxRi2.jpg,They're putting comedy to work.,75.0
Stargate Universe,60.0,2009-10-02,2011-05-09,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syfy,8.2,2,40,2011-05-09,7.356,605.0,/n23WMoa9y5TYPuKSQjPArpbHr9x.jpg,The Only Mission Is Survival,61.0
