Name,Average Runtime,End Date,Premiere Date,Genres,Type,Language,Network,Critic_Rating,Total Seasons,Total Episodes,Premier Date,User_Rating,vote_count,poster_path,tagline,Metacritic_Rating
In Plain Sight,61.0,2008-06-01,2012-05-04,"['Drama', 'Action', 'Crime']",Scripted,English,USA Network,7.9,5,61,2012-05-04,7.205,73.0,/sYxUjS4PblT1YKg1Cy5YdXPNeuN.jpg,Welcome to witness protection. Now get lost,56.0
Californication,30.0,2007-08-13,2014-06-29,"['Drama', 'Comedy']",Scripted,English,Showtime,7.9,7,84,2014-06-29,7.661,971.0,/jPqOY8cq9KXQN4bD7zJGHCNvcb4.jpg,He's in way too deep.,66.0
True Blood,60.0,2008-09-07,2014-08-24,"['Drama', 'Romance', 'Supernatural']",Scripted,English,HBO,7.9,7,80,2014-08-24,7.624,1641.0,/ktEp6fzL4xzCWsSVtrcH8JaQNQy.jpg,Thou shall not crave thy neighbor.,70.33
Curb Your Enthusiasm,32.0,2000-10-15,2024-04-07,['Comedy'],Scripted,English,HBO,7.9,12,120,2024-04-07,8.056,622.0,/tMKxFUneUgHFdId4DPuL05Khjqk.jpg,The world has changed. He hasn't.,84.86
Vegas,60.0,2012-09-25,2013-05-10,['Drama'],Scripted,English,CBS,7.9,1,21,2013-05-10,5.0,2.0,/rcf0lknfnbPD6aT6iQeSmIE5szu.jpg,Never bow your head.,68.0
Merlin,60.0,2008-09-20,2012-12-24,"['Adventure', 'Fantasy']",Scripted,English,BBC One,7.9,5,65,2012-12-24,7.813,814.0,/8eR5Jg7CxsuCOEBU5wW0opObxpi.jpg,Magic is his destiny.,56.0
Merlin,60.0,2008-09-20,2012-12-24,"['Adventure', 'Fantasy']",Scripted,English,BBC One,7.9,5,65,2012-12-24,6.788,229.0,/ra2F5ufWFV9qDMcZR1VbCfKZO2Z.jpg,The most magical adventure of all time.,56.0
Bunheads,60.0,2012-06-11,2013-02-25,"['Drama', 'Comedy']",Scripted,English,Freeform,7.9,1,18,2013-02-25,7.265,34.0,/eSQxZYyOiQ4ZUuM0hCckKFlqVX5.jpg,Sometimes life raises the barre.,74.0
Nikita,60.0,2010-09-09,2013-12-27,"['Drama', 'Action', 'Crime']",Scripted,English,The CW,7.9,4,73,2013-12-27,7.32,359.0,/iGgHX4OOPWwVMlXvhnTdxbHgKjB.jpg,Looks do kill.,67.0
Absolutely Fabulous,30.0,1992-11-12,2012-07-23,['Comedy'],Scripted,English,BBC One,7.9,6,33,2012-07-23,7.457,129.0,/y961thfQVrK3VV4PItxPsYeoGwt.jpg,Darling!,N/A
Kyle XY,60.0,2006-06-26,2009-03-16,"['Drama', 'Science-Fiction', 'Mystery']",Scripted,English,Freeform,7.9,3,43,2009-03-16,7.046,284.0,/4omwjf3HgGx4nZXcA0Avmd9bQny.jpg,Who is Kyle XY?,N/A
V,73.0,1983-05-01,1985-03-22,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,NBC,7.9,3,24,1985-03-22,7.736,851.0,/fV5U1eWPC8Dvxq0BUIoF7cvBK1o.jpg,Humankind's last stand.,57.5
V,73.0,1983-05-01,1985-03-22,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,NBC,7.9,3,24,1985-03-22,6.821,618.0,/b2w3vq0uvfmahS6dB41WeWByhVy.jpg,We are of peace. Always.,57.5
House of Lies,30.0,2012-01-08,2016-06-12,"['Drama', 'Comedy']",Scripted,English,Showtime,7.9,5,58,2016-06-12,6.596,162.0,/xrrNWeMC9p2J0fEUCYYsyA67EdB.jpg,"Liar, liar...",63.0
Nurse Jackie,30.0,2009-06-08,2015-06-28,"['Drama', 'Comedy']",Scripted,English,Showtime,7.9,7,80,2015-06-28,7.02,171.0,/efKrmVB9Jwmh6HxFjED6FyeOUpW.jpg,Trauma queen,75.8
Baby Daddy,30.0,2012-06-20,2017-05-22,"['Comedy', 'Family']",Scripted,English,Freeform,7.9,6,100,2017-05-22,7.179,182.0,/lwpaNYFacUITOtfIZ1UDq7vnKeD.jpg,Time to Dad up.,51.0
Louie,30.0,2010-06-29,2015-05-28,"['Drama', 'Comedy']",Scripted,English,FX,7.9,5,61,2015-05-28,7.8,431.0,/wunIdpYD42rtTgu9luzyzXc0COz.jpg,Misery loves comedy.,87.4
The Riches,60.0,2007-03-12,2008-04-29,"['Drama', 'Comedy']",Scripted,English,FX,7.9,2,20,2008-04-29,7.193,44.0,/c8eyL7xBTVZeeqb9oDEADqHlNc2.jpg,It's a wonderful lie,68.5
Top Boy,60.0,2011-10-31,2013-09-10,"['Drama', 'Crime', 'Thriller']",Scripted,English,Channel 4,7.9,2,8,2013-09-10,8.133,83.0,/7Kk3gRMypBHX6gHqbMaa1gXPycn.jpg,Loyalty before everything.,N/A
The Listener,60.0,2009-06-03,2014-08-18,"['Drama', 'Crime', 'Supernatural']",Scripted,English,CTV,7.9,5,65,2014-08-18,6.865,85.0,/8408RJvs3zRjA0e69I1zJTRxQye.jpg,You think. He knows.,42.0
Weeds,30.0,2005-08-07,2012-09-16,"['Drama', 'Comedy', 'Crime']",Scripted,English,Showtime,7.9,8,102,2012-09-16,7.5,747.0,/gKUsBTa5b0GY7U4iWBseeBalfjO.jpg,Let's blow this joint.,74.25
Backstrom,60.0,2015-01-22,2015-04-30,"['Drama', 'Comedy', 'Crime']",Scripted,English,FOX,7.9,1,13,2015-04-30,6.7,70.0,/jX1hRlRiBilKbOciczFgOibe6rO.jpg,Brilliant cop. Total jerk.,51.0
NYPD Blue,60.0,1993-09-21,2005-03-01,"['Drama', 'Crime']",Scripted,English,ABC,7.9,12,261,2005-03-01,7.123,118.0,/hrdusQVSArJPRGnB5bHzd2ISP4V.jpg,Ride along with the boys in blue.,84.0
Numb3rs,60.0,2005-01-23,2010-03-12,"['Drama', 'Action', 'Crime']",Scripted,English,CBS,7.9,6,118,2010-03-12,7.069,333.0,/wOzbxJmpccPA5MYvBSGbor3WKh3.jpg,We all use Math every day,53.0
Angels in America,60.0,2003-12-07,2003-12-14,"['Drama', 'Fantasy']",Scripted,English,HBO,7.9,1,6,2003-12-14,7.632,190.0,/rrV0kCmzcP8oB00gemSZDns90rb.jpg,The messenger has arrived.,N/A
Moonlighting,60.0,1985-03-03,1989-05-14,['Comedy'],Scripted,English,ABC,7.9,5,67,1989-05-14,7.5,298.0,/lrx6v9iD7WWkzkYMCvikvG3DIFp.jpg,Detectives with a heart,N/A
The Fresh Prince of Bel-Air,30.0,1990-09-10,1996-05-20,"['Comedy', 'Family']",Scripted,English,NBC,7.9,6,148,1996-05-20,7.955,2056.0,/3d6tBbClvVjgF6ZyPl3SojfFU3e.jpg,Influence goes both ways.,58.0
Emergency!,60.0,1972-01-15,2022-08-20,"['Drama', 'Action', 'Medical']",Scripted,English,NBC,7.9,6,122,2022-08-20,7.9,39.0,/ue1o5MfUCdgCL2hc7PBWw6ID88.jpg,"Squad 51, this is Rampart. Continue to monitor patient and transport immediately.",N/A
X Company,60.0,2015-02-18,2017-03-15,"['Drama', 'War', 'Espionage']",Scripted,English,CBC,7.9,3,28,2017-03-15,7.581,37.0,/1O3REMtCAdrSaPrDxPM3W2fNcEJ.jpg,The allies needed a secret weapon. They got five.,N/A
Hatfields & McCoys,96.0,2012-05-28,2012-05-30,"['Drama', 'Romance', 'Western']",Scripted,English,History,7.9,1,3,2012-05-30,7.455,268.0,/20sdSd2UxKb6286zA87aufliu9M.jpg,Never Forgive. Never Forget.,68.0
The Vampire Diaries,60.0,2009-09-10,2017-03-10,"['Drama', 'Romance', 'Supernatural']",Scripted,English,The CW,7.9,8,171,2017-03-10,8.337,8356.0,/aBkVgChtyyJaHyZh1gfd8DbzQon.jpg,You remember your first kiss forever... and ever.,50.0
Commander in Chief,60.0,2005-09-27,2006-06-14,['Drama'],Scripted,English,ABC,7.9,1,18,2006-06-14,7.788,26.0,/2WMS3a43ppLxqDTHyGYmOsqOBbr.jpg,Wife. Mother. Leader of the free world.,56.0
The Royals,60.0,2015-03-15,2018-05-13,['Drama'],Scripted,English,E!,7.9,4,40,2018-05-13,7.467,105.0,/5XLmgVS3HPWE2gpTVOyD4c9mQ7D.jpg,Anarchy in the Monarchy,48.0
One Tree Hill,60.0,2003-09-23,2012-04-04,['Drama'],Scripted,English,The CW,7.9,9,187,2012-04-04,7.8,390.0,/sOrelBaAhp7DZbPTivDwKEyPslC.jpg,Where nothing ever changed until one outsider changed everything.,46.0
La Femme Nikita,60.0,1997-01-13,2001-03-04,"['Drama', 'Action', 'Thriller']",Scripted,English,USA Network,7.9,5,96,2001-03-04,7.56,207.0,/pvm8hc0JzbDOcH85bPmlqmMJDvT.jpg,Mistakes are not an option,68.0
Magic City,60.0,2012-03-30,2013-08-09,"['Drama', 'Crime', 'Mystery']",Scripted,English,STARZ,7.9,2,16,2013-08-09,6.859,71.0,/g06xRDpwPmhFuhqx0srjM8oqwn3.jpg,The beautiful life is about to get ugly.,56.0
Melissa & Joey,30.0,2010-08-17,2015-08-05,"['Comedy', 'Family']",Scripted,English,Freeform,7.8,4,104,2015-08-05,6.973,91.0,/4Jju36sQpOTnMICesTDsenOREK9.jpg,A good manny is hard to find.,53.0
Night Court,30.0,1984-01-04,1992-05-31,"['Comedy', 'Legal']",Scripted,English,NBC,7.8,9,193,1992-05-31,7.0,22.0,/aDgsyosno3aKCiAn0UoUuw6HNME.jpg,Court is back in session.,N/A
Hot in Cleveland,30.0,2010-06-16,2015-06-03,['Comedy'],Scripted,English,TV Land,7.8,6,126,2015-06-03,7.619,97.0,/mvSXebWlltJxJUNNkoLb0tzygi2.jpg,Hot in Cleveland,64.0
How I Met Your Mother,30.0,2005-09-19,2014-03-31,"['Drama', 'Comedy', 'Romance']",Scripted,English,CBS,7.8,9,208,2014-03-31,8.158,4376.0,/b34jPzmB0wZy7EjUZoleXOl2RRI.jpg,A love story in reverse.,69.0
Jane by Design,60.0,2012-01-03,2012-07-31,"['Drama', 'Comedy']",Scripted,English,Freeform,7.8,1,18,2012-07-31,7.357,28.0,/v0t6EzLG2p0u1ugxYmZ9YMsxbNW.jpg,From high school to high fashion.,54.0
Perception,60.0,2012-07-09,2015-03-17,"['Drama', 'Crime']",Scripted,English,TNT,7.8,3,39,2015-03-17,7.234,207.0,/5L6MsJVdMDbdGZ4P1lGBunOp0VZ.jpg,Crime Scene Differently,52.0
Gotham,60.0,2014-09-22,2019-04-25,"['Drama', 'Action', 'Crime']",Scripted,English,FOX,7.8,5,100,2019-04-25,7.6,3157.0,/4XddcRDtnNjYmLRMYpbrhFxsbuq.jpg,"Before Batman, there was Gotham.",71.0
CSI: NY,60.0,2004-09-22,2013-02-22,"['Drama', 'Action', 'Crime']",Scripted,English,CBS,7.8,9,197,2013-02-22,7.383,609.0,/4TGV4Bb3OPay4cHkQRlfwghv3vC.jpg,How long does it take to get hooked on the latest CSI: hit? About a New York minute.,61.0
Chase,60.0,2010-09-20,2011-05-21,"['Drama', 'Action', 'Crime']",Scripted,English,NBC,7.8,1,18,2011-05-21,6.852,27.0,/sayLpKaFnTrgmIvIMmItGbyCXb4.jpg,"To catch the worst, it takes the best",47.0
Switched at Birth,60.0,2011-06-06,2017-04-11,"['Drama', 'Family']",Scripted,English,Freeform,7.8,5,103,2017-04-11,7.625,184.0,/db5XnOxGcUHeNhBRNbHfqTlzXmk.jpg,One mistake changed two families forever.,N/A
Everybody Hates Chris,30.0,2005-09-22,2009-05-08,['Comedy'],Scripted,English,The CW,7.8,4,88,2009-05-08,8.0,877.0,/3FjakKDEuaO8FpR1qJctV6njqYy.jpg,Get ready to ROCK,88.0
"The Adventures of Brisco County, Jr.",62.0,1993-08-27,1994-05-20,"['Adventure', 'Science-Fiction', 'Western']",Scripted,English,FOX,7.8,1,27,1994-05-20,7.051,69.0,/lL6s4WiImhvOg0GayU1tMduUn1s.jpg,Smile. You're about to meet your new hero.,N/A
Drop Dead Diva,60.0,2009-07-12,2014-06-22,"['Drama', 'Comedy']",Scripted,English,Lifetime,7.8,6,78,2014-06-22,7.815,230.0,/4J8DKF6UOfcHIWcyap9NK1acnoU.jpg,Sometimes life throws you curves.,69.0
How to Make It in America,30.0,2010-02-14,2011-11-20,"['Drama', 'Comedy']",Scripted,English,HBO,7.8,2,16,2011-11-20,7.46,63.0,/xSKGT90ScJbHsL6FvMn7Aiov6tS.jpg,Dream big or go home.,59.0
My Name Is Earl,30.0,2005-09-20,2009-05-14,['Comedy'],Scripted,English,NBC,7.8,4,96,2009-05-14,7.7,868.0,/57shLTTkHvhLUhyP1t0lNZPoAxD.jpg,Karma is a funny thing.,77.0
Adventure Time,15.0,2008-12-07,2018-09-03,"['Comedy', 'Adventure', 'Fantasy']",Animation,English,Cartoon Network,7.8,10,278,2018-09-03,8.477,2474.0,/qk3eQ8jW4opJ48gFWYUXWaMT4l.jpg,"They’re not righteous, they’re wrongteous!",N/A
Motive,60.0,2013-02-03,2016-08-30,"['Drama', 'Crime', 'Mystery']",Scripted,English,CTV,7.8,4,52,2016-08-30,6.557,70.0,/gA5mK6VO1tJ4DCGhmXEcsYetvqH.jpg,The murder is just the beginning.,51.0
NCIS: Los Angeles,60.0,2009-09-22,2023-05-21,"['Drama', 'Action', 'Crime']",Scripted,English,CBS,7.8,14,323,2023-05-21,7.563,1053.0,/TIIgcznwNfNr3KOZvxn26eKV99.jpg,New city. New team. Same attitude.,58.0
Mistresses,60.0,2013-06-03,2016-09-06,"['Drama', 'Romance']",Scripted,English,ABC,7.8,4,52,2016-09-06,5.4,56.0,/6ayoSSIrbLYm6MrgBhzw2tTp96a.jpg,Four friends. Four hearts. 13 weeks of seduction.,N/A
Red Dwarf,32.0,1988-02-15,2020-04-09,"['Comedy', 'Science-Fiction']",Scripted,English,Dave,7.8,12,73,2020-04-09,8.034,334.0,/dAaVWMhCCrSuimSETs9Z5ZTZQ3v.jpg,Smeg Head!,N/A
Scandal,60.0,2012-04-05,2018-04-19,"['Drama', 'Thriller']",Scripted,English,ABC,7.8,7,124,2018-04-19,7.2,478.0,/4XmF8PMSqtHCGNoL15oHbjr5ZuO.jpg,Dirty little secrets always come out.,64.0
Hart of Dixie,60.0,2011-09-26,2015-03-27,"['Drama', 'Comedy', 'Romance']",Scripted,English,The CW,7.8,4,76,2015-03-27,7.35,244.0,/xOwH2ZUtdzqeat5RhiD3oes2ASx.jpg,Her life is about to go South.,43.0
Chasing Life,60.0,2014-06-10,2015-09-28,"['Drama', 'Romance', 'Medical']",Scripted,English,Freeform,7.8,2,34,2015-09-28,7.553,47.0,/divzwWoDznYdqn0FtwyPuQfacg6.jpg,Cancer sucks.,59.0
Dollhouse,60.0,2009-02-13,2010-01-29,"['Action', 'Science-Fiction']",Scripted,English,FOX,7.8,2,26,2010-01-29,7.239,387.0,/oq5WPzUn7R0YcIk7QGwpXqvgSWO.jpg,"She can be anyone, except herself.",57.0
FlashForward,60.0,2009-09-24,2010-05-27,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,ABC,7.8,1,22,2010-05-27,7.069,416.0,/7iu2HJ8ZSNbBgFLi42JNcuPjBax.jpg,Everyone in the world will get a flash of their own future.,71.0
Saving Hope,60.0,2012-06-07,2017-08-03,"['Drama', 'Fantasy', 'Medical']",Scripted,English,CTV,7.8,5,85,2017-08-03,7.224,85.0,/1OGQisCT1T5ChkzZVdFqhX4O1G.jpg,"Life, death and everything in between.",49.0
Rush,60.0,2014-07-17,2014-09-18,"['Drama', 'Medical']",Scripted,English,USA Network,7.8,1,10,2014-09-18,7.595,158.0,/aQiWbhicCGDJAgCV60pmfkfFJNB.jpg,Good doctor. Bad habits.,N/A
Charlie's Angels,60.0,1976-09-22,1981-06-24,"['Action', 'Adventure']",Scripted,English,ABC,7.8,5,115,1981-06-24,6.634,175.0,/pvSdc81hTTiTugMEGjObuEMijDc.jpg,We're the one to turn to.,30.0
Charlie's Angels,60.0,1976-09-22,1981-06-24,"['Action', 'Adventure']",Scripted,English,ABC,7.8,5,115,1981-06-24,5.236,36.0,/4UiQ46T777kvKJCx9F9DAI3HajP.jpg,They're not saints.,30.0
The Triangle,90.0,2005-12-05,2005-12-07,"['Drama', 'Action', 'Adventure']",Scripted,English,Syfy,7.8,1,3,2005-12-07,6.2,134.0,/mOASmvCKDOtUtZLxG4er4bDfycq.jpg,In the Bermuda Triangle nothing stays lost forever,N/A
Silk Stalkings,60.0,1991-11-07,1999-04-18,"['Drama', 'Action', 'Crime']",Scripted,English,USA Network,7.8,8,176,1999-04-18,6.3,23.0,/mzJDp1iZmhxlSCBBicWsiYcZGv.jpg,"Smut, smut and more smut - with sex and murder thrown in for good measure.",N/A
Sledge Hammer!,30.0,1986-09-23,1988-02-12,"['Comedy', 'Action']",Scripted,English,ABC,7.8,2,41,1988-02-12,7.976,127.0,/exYBfVOkRDg9f7HlRIDZ6gy3A73.jpg,"Trust me, I know what I'm doing.",N/A
Due South,60.0,1994-04-26,1999-03-14,"['Drama', 'Crime']",Scripted,English,CTV,7.8,4,66,1999-03-14,7.603,68.0,/6VhCmn2YPhFyK2SjMb5Px9shxD4.jpg,Thank you kindly.,N/A
Legit,30.0,2013-01-17,2014-05-14,['Comedy'],Scripted,English,FXX,7.8,2,26,2014-05-14,7.41,61.0,/4wKawZKCcWpQYJXDB5XBSMRCWDm.jpg,He wants to help. In the worst way.,71.0
I Dream of Jeannie,30.0,1965-09-18,1991-10-20,"['Comedy', 'Fantasy', 'Romance']",Scripted,English,NBC,7.8,5,139,1991-10-20,7.83,698.0,/ljlyB3C3uU8Hd1krfEsYn2BVyaj.jpg,"No one keeps this impish, delightful genie bottled up",N/A
Takeshi's Castle,30.0,2002-11-09,2013-03-29,"['Comedy', 'Action', 'Family']",Game Show,English,Challenge,7.8,5,128,2013-03-29,7.583,36.0,/5rSiau1StRsoiaR9Jdxa2rQIML2.jpg,Takeshi's Castle,N/A
The Outer Limits,60.0,1995-03-26,2002-01-18,"['Drama', 'Horror', 'Science-Fiction']",Scripted,English,Syfy,7.8,7,154,2002-01-18,7.9,120.0,/f6IxRbfpfOiJgs15DG42s4BbCb6.jpg,There is nothing wrong with your television. Do not attempt to adjust the picture.,N/A
All in the Family,30.0,1971-01-12,1979-04-08,"['Comedy', 'Family']",Scripted,English,CBS,7.8,9,210,1979-04-08,7.773,143.0,/s2Y9QWyuyjRP78DZsatknEjn0iN.jpg,"Like the Good Book says, ""Let him who is without sin... be the rollin' stone.""",N/A
Happy Days,30.0,1974-01-15,1984-09-24,['Comedy'],Scripted,English,ABC,7.8,11,255,1984-09-24,7.7,230.0,/sepIwNPCEhkKvFOQSjXK6tekkjR.jpg,Those were the days of the 1950's...filled with innocence and the promise of even better days to come.,N/A
Amazing Stories,31.0,1985-09-29,1987-04-10,"['Fantasy', 'Science-Fiction']",Scripted,English,NBC,7.8,2,45,1987-04-10,7.414,372.0,/evcvXE6BP8fT8UoWsyiTBvxqyrL.jpg,Five tales. Infinite imagination.,N/A
Crusade,60.0,1999-06-09,1999-09-01,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,TNT,7.8,1,13,1999-09-01,6.6,87.0,/nro8P92M0XFA4sxwD7xy1h6yFIy.jpg,"Who do you serve, and who do you trust?",N/A
Defiance,62.0,2013-04-15,2015-08-28,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syfy,7.8,3,38,2015-08-28,6.812,430.0,/1LnkD9QZWo2dPoB82f8jyRk9ukh.jpg,New Earth. New rules.,57.0
3rd Rock from the Sun,30.0,1996-01-09,2001-05-22,"['Comedy', 'Family', 'Science-Fiction']",Scripted,English,NBC,7.8,6,139,2001-05-22,7.489,422.0,/sUB4lZghNnwQywKqgjIfJsyBqI2.jpg,There's a new family in town. They're not from another city... They're from another planet.,52.0
Eli Stone,60.0,2008-01-31,2009-07-11,"['Drama', 'Fantasy', 'Legal']",Scripted,English,ABC,7.8,2,26,2009-07-11,6.992,63.0,/hWVuLjx3QPhpfTCePbB9nunIJt0.jpg,Partly cloudy... with a chance of visions.,66.5
No Ordinary Family,60.0,2010-09-28,2011-04-05,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,ABC,7.8,1,20,2011-04-05,7.072,321.0,/2Hytyjin1oa8kwpPDTpRiEQvXpL.jpg,New powers. Instructions not included.,65.0
Knight Rider,60.0,1982-09-26,1991-05-19,"['Drama', 'Action', 'Crime']",Scripted,English,NBC,7.7,4,90,1991-05-19,7.518,1123.0,/t57NXzTrwp5rnPXiaX4BThrDxt1.jpg,"Michael Knight is today's hero! Driving the car of tomorrow! Together, they're the ultimate crimecrashers!",21.0
Knight Rider,60.0,1982-09-26,1991-05-19,"['Drama', 'Action', 'Crime']",Scripted,English,NBC,7.7,4,90,1991-05-19,7.431,539.0,/e93H0P6GYoDUhHR5uCdmfLDAvKt.jpg,An icon reborn.,21.0
The 100,60.0,2014-03-19,2020-09-30,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,The CW,7.7,7,100,2020-09-30,7.916,7666.0,/wcaDIAG1QdXQLRaj4vC1EFdBT2.jpg,Survival isn't who you are. It's who you become.,63.0
Revenge,60.0,2011-09-21,2015-05-10,"['Drama', 'Thriller', 'Mystery']",Scripted,English,ABC,7.7,4,89,2015-05-10,7.6,678.0,/qx7XytRgg1F03NN5BoK8jx3Cyft.jpg,What goes around comes around.,66.0
Ironside,60.0,2013-10-02,2013-10-23,"['Drama', 'Action', 'Crime']",Scripted,English,NBC,7.7,1,9,2013-10-23,5.395,19.0,/f14yvzQg1xEpK3rQGdlApltJki4.jpg,His team. His town. His rules.,N/A
Happy Town,60.0,2010-04-28,2010-07-01,"['Drama', 'Crime', 'Mystery']",Scripted,English,ABC,7.7,1,8,2010-07-01,5.621,29.0,/k6SUulnvLKKe1RblxVDeKDEGtxZ.jpg,Don't let the name fool you.,52.0
Jeremiah,60.0,2002-03-03,2004-01-19,"['Drama', 'Adventure', 'Science-Fiction']",Scripted,English,Showtime,7.7,2,35,2004-01-19,7.086,58.0,/yBaq79cbv8Lmhaa7ej3z6GOp9zK.jpg,A generation lost. The future unknown.,N/A
iZombie,60.0,2015-03-17,2019-08-01,"['Drama', 'Crime', 'Horror']",Scripted,English,The CW,7.7,5,71,2019-08-01,7.797,2628.0,/q4nqNwAhzVR7JuYctrWJvUWz3xR.jpg,Rebel without a cure.,74.0
Ghost Whisperer,60.0,2005-09-23,2010-05-21,"['Drama', 'Fantasy']",Scripted,English,CBS,7.7,5,107,2010-05-21,8.088,1541.0,/nIboXXCporMO9Xskq7Rsf45Z6qW.jpg,The dead are talking...and she is listening.,29.0
Entourage,30.0,2004-07-18,2011-09-11,"['Drama', 'Comedy']",Scripted,English,HBO,7.7,8,96,2011-09-11,7.317,462.0,/kLKP8zrArBtBboGz3qJOuMGC7rL.jpg,A lifestyle is a terrible thing to waste.,66.8
Madam Secretary,60.0,2014-09-21,2019-12-08,['Drama'],Scripted,English,CBS,7.7,6,120,2019-12-08,7.0,260.0,/6Nl1ablo4DNTLb4ZH7Mycz81AEt.jpg,Not politics as usual.,66.0
Modern Family,30.0,2009-09-23,2020-04-08,"['Comedy', 'Family']",Scripted,English,ABC,7.7,11,250,2020-04-08,7.841,2346.0,/klL4yhwiU8aF4AuF5dCfJA9sRnS.jpg,"One big (straight, gay, multi-cultural, traditional) happy family.",86.0
Reaper,60.0,2007-09-25,2009-05-26,"['Drama', 'Comedy', 'Supernatural']",Scripted,English,The CW,7.7,2,31,2009-05-26,7.085,170.0,/uYkgVxxRvRFceDHXlbSrqXmMut0.jpg,Meet Satan's biggest tools.,68.5
Big Love,60.0,2006-03-12,2011-03-20,['Drama'],Scripted,English,HBO,7.7,5,53,2011-03-20,7.0,109.0,/38aaxDXz4qim9M85VTzpUecKlq9.jpg,Polygamy Loves Company,75.0
Life on Mars,60.0,2008-10-09,2009-04-01,"['Drama', 'Crime', 'Fantasy']",Scripted,English,ABC,7.7,1,17,2009-04-01,7.808,226.0,/kFmhMpfyCVsu8AdJmz0xzULUduZ.jpg,"Is he mad, in a coma… or has Detective Sam Tyler really travelled back in time?",N/A
Life on Mars,60.0,2008-10-09,2009-04-01,"['Drama', 'Crime', 'Fantasy']",Scripted,English,ABC,7.7,1,17,2009-04-01,6.519,79.0,/opP6O99cWRZ9tfdPaLsWefbcPRs.jpg,A modern day cop in a 1973 world.,N/A
You're the Worst,31.0,2014-07-17,2019-04-03,"['Drama', 'Comedy', 'Romance']",Scripted,English,FXX,7.7,5,62,2019-04-03,7.411,176.0,/whXfP89yXz4AwQ9dzWCTGcl9YvV.jpg,Terrible people. Perfect for each other.,77.33
Private Practice,60.0,2007-09-26,2013-01-22,"['Drama', 'Romance', 'Medical']",Scripted,English,ABC,7.7,6,111,2013-01-22,7.686,288.0,/pW20ANAGdrgreYJExduUVaWos6H.jpg,A new start on life.,44.5
12 Monkeys,59.0,2015-01-16,2018-07-06,"['Drama', 'Adventure', 'Science-Fiction']",Scripted,English,Syfy,7.7,4,47,2018-07-06,7.441,970.0,/tPX5Jg29XSx05qNterYGYGKbh3o.jpg,End at the beginning.,N/A
Almost Human,60.0,2013-11-17,2014-03-03,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,FOX,7.7,1,13,2014-03-03,7.39,448.0,/7KNvabIPtsfR01H1bJwc1sobRUM.jpg,Some cops are born. Others are made.,62.0
Batman,30.0,1966-01-12,1968-03-14,"['Comedy', 'Action', 'Adventure']",Scripted,English,ABC,7.7,3,120,1968-03-14,7.4,473.0,/eJWKgqICVxgDOOWRNBQ7b6Hh5Xb.jpg,The Worst Is Yet To Come,N/A
A Place to Call Home,60.0,2013-04-28,2018-10-21,"['Drama', 'Romance']",Scripted,English,Showcase,7.7,6,67,2018-10-21,7.5,35.0,/ctjoNliuHbsRK3asfSjP7z8qhum.jpg,Some obligations can't be passed on.,N/A
Devious Maids,60.0,2013-06-23,2016-08-08,"['Drama', 'Crime']",Scripted,English,Lifetime,7.7,4,49,2016-08-08,7.1,121.0,/gn61HHk9KRa9RKeFCz476EqLR61.jpg,Deliciously Dirty,63.0
Deception,60.0,2013-01-07,2013-03-18,"['Drama', 'Crime', 'Mystery']",Scripted,English,NBC,7.7,1,11,2013-03-18,7.841,207.0,/fRQ3JV67ADyTrRNyXqefqJkJsD4.jpg,The FBI has a new trick up its sleeve.,52.0
Deception,60.0,2013-01-07,2013-03-18,"['Drama', 'Crime', 'Mystery']",Scripted,English,NBC,7.7,1,11,2013-03-18,5.648,27.0,/AnJBeMJdIw9umj958VRCyz7PWrI.jpg,"To find the truth, she'll become a lie.",52.0
The Office,30.0,2001-07-09,2003-12-27,['Comedy'],Scripted,English,BBC Two,7.7,3,12,2003-12-27,8.587,3443.0,/dg9e5fPRRId8PoBE0F6jl5y85Eu.jpg,A comedy for anyone whose boss is an idiot.,63.0
The Wonder Years,30.0,1988-01-31,1993-05-12,"['Drama', 'Comedy', 'Family']",Scripted,English,ABC,7.7,6,115,1993-05-12,8.363,878.0,/tkaduqdhFrF1vp8L55OJfB5jw8Z.jpg,With a little help from my friends.,80.0
The Wonder Years,30.0,1988-01-31,1993-05-12,"['Drama', 'Comedy', 'Family']",Scripted,English,ABC,7.7,6,115,1993-05-12,7.2,190.0,/stTtZ97QiXTvCQFDF6rNfFfFt9K.jpg,Return to wonder.,80.0
Heroes,60.0,2006-09-25,2010-02-08,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,NBC,7.7,4,78,2010-02-08,7.487,2018.0,/7Cn1Sj5yipu7tBX14BbaXuBHbL1.jpg,"You can't choose your family, you can choose a side.",61.5
Body of Proof,60.0,2011-03-29,2013-05-28,"['Drama', 'Crime']",Scripted,English,ABC,7.7,3,42,2013-05-28,6.992,123.0,/nZaJymzkQeJPsqv3vm7Ok7iRenr.jpg,Get away with murder? Over her dead bodies.,56.0
